"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"App: Groww
Sheet: Demo_Automation.xlsx
Scenario: Transaction","9578","[Groww] Transaction Execution","automation_Test.EndToEndTests_Form","Mon Jul 28 17:57:01 IST 2025","passed","Mon Jul 28 17:57:11 IST 2025","automation_Test.EndToEndTests_Form","Command line test","automation_Test.EndToEndTests_Form","Execution"
"App: Groww
Sheet: Groww.xlsx
Scenario: Login","24058","[Groww] Login Execution","automation_Test.EndToEndTests_Form","Mon Jul 28 17:56:37 IST 2025","passed","Mon Jul 28 17:57:01 IST 2025","automation_Test.EndToEndTests_Form","Command line test","automation_Test.EndToEndTests_Form","Execution"
